date,Id,content,username,Like_Count,retweet_count,reply_count,followers_Count,month,day,weekday,year
2023-02-04 09:14:07+00:00,1.6218E+18,"Runtown - Kini Issue (Official)

#Listen live via  https://t.co/H5oJ2oxLCs #UsePayday #NairaRedesign #jagaban #EndSARS #uniben #IPOB #Album5 #Greenwood #PalmPayApp #greenwoodOUT #EndSARS #YvonneGodsWill #KhosiTwala #NewNairaNotes",panachefm,0,0,0,0,2,4,5,2023
2023-02-04 09:13:32+00:00,1.6218E+18,@ManUtd @Sanchooo10 Terminate #11's contract #greenwoodOUT,LUHSJR,0,0,0,0,2,4,5,2023
2023-02-04 09:12:18+00:00,1.6218E+18,We have no place for players who assault women #greenwoodOUT https://t.co/CaGQLLL89n,MohamedAlshaiba,1,0,0,0,2,4,5,2023
2023-02-04 09:05:51+00:00,1.6218E+18,"Be nice if the home crowd showed their contempt for Greenwood today, club needs to understand that his behaviour is not acceptable 🚮 #MUNCRY #MUFC #greenwoodOUT",Zar_RedIssue,22,0,1,0,2,4,5,2023
2023-02-04 09:03:08+00:00,1.6218E+18,Danko Dele #greenwoodOUT #Greeny,tshembhamaluks,1,1,1,0,2,4,5,2023
2023-02-04 08:38:01+00:00,1.62179E+18,If Man Utd take the beast #greenwoodOUT back they are a disgrace. What a message that would send at the moment to women who are under the cosh.,stengo7,1,0,0,0,2,4,5,2023
2023-02-04 08:05:29+00:00,1.62178E+18,"Beyoncé, Shatta Wale, Major Lazer - ALREADY (Official Audio)

#Listen live via  https://t.co/H5oJ2oxLCs #UsePayday #NairaRedesign #jagaban #EndSARS #uniben #IPOB #Album5 #Greenwood #PalmPayApp #greenwoodOUT #EndSARS #YvonneGodsWill #KhosiTwala #NewNairaNotes",panachefm,0,1,0,0,2,4,5,2023
2023-02-04 07:47:09+00:00,1.62178E+18,@ManUtd There is no duty of care for a person who can do this. There is no denying what we saw and heard. There should be no 'debate' amongst anybody in the club as to whether he should return. There is only one correct and moral choice. For the sake of our club #greenwoodOUT,Unmayk3r,0,0,0,0,2,4,5,2023
2023-02-04 07:23:47+00:00,1.62177E+18,100% correct #mufc #greenwoodOUT,RichBream82,1,0,0,0,2,4,5,2023
2023-02-04 07:05:21+00:00,1.62177E+18,"Let's play a game, 3 are real 1 is AI Generated AKA fake. Who can guess which one is AI Generated? Answer reveal in 48 hours. 

#AIart #AI #fridaymorning #BBTitans #greenwoodOUT #หมอกินคนไข้ #Ukraine #AIArtwork #AITOOLS #AIイラスト #AIイラスト好きさんと繋がりたい #Crypto https://t.co/gkswxLSpA2",IMGNAI_content,4,0,1,0,2,4,5,2023
2023-02-04 06:48:07+00:00,1.62176E+18,"Oxlade Ft. Mayorkun - Bad Boy 

#Listen live via  https://t.co/H5oJ2oxLCs #UsePayday #NairaRedesign #jagaban #EndSARS #uniben #IPOB #Album5 #Greenwood #PalmPayApp #greenwoodOUT #EndSARS #YvonneGodsWill #KhosiTwala #NewNairaNotes",panachefm,0,1,0,0,2,4,5,2023
